station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40260,State/Lake,01/01/2001,8352.5,3808.5,2390.8,210942
40260,State/Lake,02/01/2001,8397.4,3733,2513.5,192934
40260,State/Lake,03/01/2001,8215.4,4160.8,2593.8,211918
40260,State/Lake,04/01/2001,8120.9,4128.3,2638.8,200245
40260,State/Lake,05/01/2001,8209.2,4051.3,2979.6,211706
40260,State/Lake,06/01/2001,8523.9,4580.6,3496.3,215890
40260,State/Lake,07/01/2001,8923.5,4674,3553.2,227409
40260,State/Lake,08/01/2001,8619.2,4291,3753.8,230420
40260,State/Lake,09/01/2001,8981.4,4417,3113.2,211410
40260,State/Lake,10/01/2001,8955.9,4252.8,3255.5,236018
40260,State/Lake,11/01/2001,8541.7,4904,2800.6,212994
40260,State/Lake,12/01/2001,7616.6,4270.8,2638.7,189517
40260,State/Lake,01/01/2002,8086.4,3763.3,2401,204958
40260,State/Lake,02/01/2002,8214.6,4213.8,2853,192559
40260,State/Lake,03/01/2002,8168.7,4459.8,2735.6,207519
40260,State/Lake,04/01/2002,8597.2,4546.5,3180.3,220046
40260,State/Lake,05/01/2002,8383.5,4324.5,3369,218581
40260,State/Lake,06/01/2002,8665,5140.6,3991.4,218959
40260,State/Lake,07/01/2002,8883,4933.8,3943.4,234879
40260,State/Lake,08/01/2002,8487.7,5145.4,4270.3,229537
40260,State/Lake,09/01/2002,9446.6,4954,3729.3,231124
40260,State/Lake,10/01/2002,9309.7,5199.5,3865.3,250383
40260,State/Lake,11/01/2002,8778.4,4987.8,3131.4,216164
40260,State/Lake,12/01/2002,7759.1,4494.5,2760.3,197482
40260,State/Lake,01/01/2003,7485.1,3380,2397.6,190181
40260,State/Lake,02/01/2003,7857.3,3788.3,2573.5,182592
40260,State/Lake,03/01/2003,8046.8,4335,2907.2,205194
40260,State/Lake,04/01/2003,7884.8,4069.5,2895.5,201325
40260,State/Lake,05/01/2003,7871.6,4165,2887.2,200565
40260,State/Lake,06/01/2003,7856.8,4565.5,3427.8,200394
40260,State/Lake,07/01/2003,8301.1,4545.3,3618.8,218900
40260,State/Lake,08/01/2003,7768.6,5022,3943,207966
40260,State/Lake,09/01/2003,8716.3,4590.5,3126.6,217037
40260,State/Lake,10/01/2003,8593.8,4890.3,3438.8,230974
40260,State/Lake,11/01/2003,7916.7,4362.8,2706.3,188469
40260,State/Lake,12/01/2003,7015.6,3943,2485.2,182542
40260,State/Lake,01/01/2004,6787.8,3187,2156,169259
40260,State/Lake,02/01/2004,7179,3883,2565.6,171940
40260,State/Lake,03/01/2004,7342.8,4253.3,2561.5,196144
40260,State/Lake,04/01/2004,7299.8,3868.3,2644.3,186645
40260,State/Lake,05/01/2004,7104,3958.2,2867.8,179078
40260,State/Lake,06/01/2004,7568.3,4326.5,3302.3,197017
40260,State/Lake,07/01/2004,7665,4463,3656.2,201561
40260,State/Lake,08/01/2004,7376.9,4313.8,3645,197771
40260,State/Lake,09/01/2004,8362,4209.3,3211.6,208497
40260,State/Lake,10/01/2004,7894.7,4166.2,3254.4,202891
40260,State/Lake,11/01/2004,7456,4209.3,2584.2,186333
40260,State/Lake,12/01/2004,6438.6,3986.3,2007.8,170085
40260,State/Lake,01/01/2005,6593.5,2770,2026.2,161700
40260,State/Lake,02/01/2005,7156.5,3152.8,1938,163492
40260,State/Lake,03/01/2005,6983.8,2960.5,1918.3,180143
40260,State/Lake,04/01/2005,7231.7,3159.6,2173,176355
40260,State/Lake,05/01/2005,7362.6,3765.8,2599,185271
40260,State/Lake,06/01/2005,7385.5,3922.5,3131.3,190697
40260,State/Lake,07/01/2005,7493.2,4526.6,3716.3,194795
40260,State/Lake,08/01/2005,7434.1,4065,3463.8,201100
40260,State/Lake,09/01/2005,8055.7,4084,2969,200350
40260,State/Lake,10/01/2005,8053,4290.2,3165.6,206393
40260,State/Lake,11/01/2005,7479,4333.8,2518.8,186989
40260,State/Lake,12/01/2005,6566.3,3288,2156.6,165115
40260,State/Lake,01/01/2006,6818,3205.8,2194.5,169167
40260,State/Lake,02/01/2006,7028.2,3265,2231,162548
40260,State/Lake,03/01/2006,7331,4120.3,2523,195186
40260,State/Lake,04/01/2006,7459.5,3947.8,2546,181659
40260,State/Lake,05/01/2006,7540.1,4397.5,3111.4,199030
40260,State/Lake,06/01/2006,8022.1,4393.3,3469.5,207937
40260,State/Lake,07/01/2006,9061.8,5753.2,4518.5,237113
40260,State/Lake,08/01/2006,9007.1,5405.5,4411,246429
40260,State/Lake,09/01/2006,9637,5231.8,3659.2,237194
40260,State/Lake,10/01/2006,9355.4,5304.5,3798.6,246029
40260,State/Lake,11/01/2006,9108,5510.3,3235.6,229487
40260,State/Lake,12/01/2006,7954.8,4413.6,2724.5,197511
40260,State/Lake,01/01/2007,7999.4,4159.5,2780.8,206529
40260,State/Lake,02/01/2007,7927.9,3553.3,2412.3,182420
40260,State/Lake,03/01/2007,8690.2,5201.8,3450.8,230996
40260,State/Lake,04/01/2007,8442.7,8513.5,5790.8,240305
40260,State/Lake,05/01/2007,9045.9,5829.8,4613.8,245397
40260,State/Lake,06/01/2007,9336.2,5400,4211.8,239907
40260,State/Lake,07/01/2007,9334.6,6242,4637.2,248817
40260,State/Lake,08/01/2007,9987.4,5580.3,4011,268075
40260,State/Lake,09/01/2007,10693.6,7909.6,5139,273561
40260,State/Lake,10/01/2007,10713.1,9309.3,6351.3,309044
40260,State/Lake,11/01/2007,9923.8,7476,4012.4,258365
40260,State/Lake,12/01/2007,7937.5,4570,2785.8,198314
40260,State/Lake,01/01/2008,8213.7,3828.5,2625.8,209145
40260,State/Lake,02/01/2008,8363.6,6420,3541,215480
40260,State/Lake,03/01/2008,8754,7390,4734.4,244457
40260,State/Lake,04/01/2008,10066.5,8136.5,5351.3,275415
40260,State/Lake,05/01/2008,9585.3,6912.2,4552.2,258614
40260,State/Lake,06/01/2008,10756.2,8183.3,6331.6,290271
40260,State/Lake,07/01/2008,10836.9,8414.5,7259.2,308365
40260,State/Lake,08/01/2008,10765.4,9955,7492.8,313312
40260,State/Lake,09/01/2008,10323.6,0,932.2,221456
40260,State/Lake,10/01/2008,9987.2,1355.3,1264.3,240184
40260,State/Lake,11/01/2008,9170.8,3061.6,1753.2,200072
40260,State/Lake,12/01/2008,7653.2,4037.3,2267.2,195856
40260,State/Lake,01/01/2009,7910.4,3580.4,2536.2,196701
40260,State/Lake,02/01/2009,8782.2,4652.3,2876.8,205759
40260,State/Lake,03/01/2009,9058.2,5090.3,3031.4,234798
40260,State/Lake,04/01/2009,8774.4,4971.8,3063.8,225178
40260,State/Lake,05/01/2009,8835.3,6026.6,4191.8,231989
40260,State/Lake,06/01/2009,9061.3,5711.3,4930.8,241916
40260,State/Lake,07/01/2009,9307.2,6609.5,6312.6,262760
40260,State/Lake,08/01/2009,9597.8,6220,4913,257219
40260,State/Lake,09/01/2009,10404,6213.5,4603.4,266356
40260,State/Lake,10/01/2009,9910.1,5889,4755.8,266490
40260,State/Lake,11/01/2009,9261.4,5920.3,3295.8,228684
40260,State/Lake,12/01/2009,7625.9,4851.8,2982.4,202088
40260,State/Lake,01/01/2010,8016.1,3990.2,2776.8,196934
40260,State/Lake,02/01/2010,8602.6,4547.5,3151.5,202848
40260,State/Lake,03/01/2010,8895.5,5069.3,3283.5,238008
40260,State/Lake,04/01/2010,9267.8,5244.8,3540.8,239033
40260,State/Lake,05/01/2010,8801.2,5877.2,4206,230646
40260,State/Lake,06/01/2010,9377.3,5676.8,4824.8,248306
40260,State/Lake,07/01/2010,9636.5,6638.2,5540.6,263260
40260,State/Lake,08/01/2010,9781.9,6356.8,4890.2,265079
40260,State/Lake,09/01/2010,10259.5,6212,4891,264752
40260,State/Lake,10/01/2010,9916.6,5904.2,4551.8,260528
40260,State/Lake,11/01/2010,9164.1,5975.5,3358.6,233142
40260,State/Lake,12/01/2010,7291,4892.3,2710,195921
40260,State/Lake,01/01/2011,8058.8,4007.8,2743,201723
40260,State/Lake,02/01/2011,8524.3,4655,3121.5,201591
40260,State/Lake,03/01/2011,9391.8,5316.3,3346.5,250663
40260,State/Lake,04/01/2011,8941.9,5415.8,3927.8,230570
40260,State/Lake,05/01/2011,9059.5,5187.3,4231.2,236385
40260,State/Lake,06/01/2011,9793.8,5967.8,5510.8,261378
40260,State/Lake,07/01/2011,10104.3,6639,5681.5,269370
40260,State/Lake,08/01/2011,10353.9,6121.8,5098.5,283021
40260,State/Lake,09/01/2011,10605.8,6386.3,4870.4,272619
40260,State/Lake,10/01/2011,10429.3,6254.4,4605.2,273314
40260,State/Lake,11/01/2011,9746.1,6331.8,3661.6,248304
40260,State/Lake,12/01/2011,8283.2,5036.4,3681.4,217536
40260,State/Lake,01/01/2012,9104.3,4603.8,3328,229573
40260,State/Lake,02/01/2012,9569.9,5029,3473.3,234977
40260,State/Lake,03/01/2012,10049.1,6406.4,4142,269681
40260,State/Lake,04/01/2012,9759.9,5519.8,4010.6,247089
40260,State/Lake,05/01/2012,9390.7,5964.5,4956.2,255234
40260,State/Lake,06/01/2012,10362.5,6718.2,5903.8,274819
40260,State/Lake,07/01/2012,10123.9,6938.5,5664.3,274341
40260,State/Lake,08/01/2012,10658.8,6866.5,5290.8,293782
40260,State/Lake,09/01/2012,10765.8,3805.4,3346,243654
40260,State/Lake,10/01/2012,10687,4432,3567,277798
40260,State/Lake,11/01/2012,9943.9,6420,3831.6,253660
40260,State/Lake,12/01/2012,8106.9,5478.6,3721.7,211860
40260,State/Lake,01/01/2013,8869.7,4508.5,3123.4,228785
40260,State/Lake,02/01/2013,9515.6,6624.3,4519,234884
40260,State/Lake,03/01/2013,8947.7,4014.2,2306.8,219506
40260,State/Lake,04/01/2013,9853.2,4468.5,3268,247717
40260,State/Lake,05/01/2013,9059.7,4133.5,3520.4,233449
40260,State/Lake,06/01/2013,9891.2,5970.6,5487.6,255114
40260,State/Lake,07/01/2013,10054.3,7109.5,6018.4,279725
40260,State/Lake,08/01/2013,10195.2,6531.8,5323.3,278246
40260,State/Lake,09/01/2013,11153.6,6534,5013.1,279287
40260,State/Lake,10/01/2013,11178.3,6503.3,5374.5,304611
40260,State/Lake,11/01/2013,10327.9,6200.2,4004.4,257581
40260,State/Lake,12/01/2013,8622.7,5638.3,3504.3,224655
40260,State/Lake,01/01/2014,8287.3,4445.3,3273,216467
40260,State/Lake,02/01/2014,9629.3,4794.8,3334,225101
40260,State/Lake,03/01/2014,10260,6204,3906.8,266014
40260,State/Lake,04/01/2014,10075.3,6258.8,4261.3,263736
40260,State/Lake,05/01/2014,9515.7,5920,4512,251990
40260,State/Lake,06/01/2014,9973,6574,5745.6,264457
40260,State/Lake,07/01/2014,10066.8,6918.3,6113.8,279712
40260,State/Lake,08/01/2014,9969,6626.6,5417.2,269567
40260,State/Lake,09/01/2014,10923,6444.8,4825.8,279292
40260,State/Lake,10/01/2014,10839.7,6952.3,5183.5,297857
40260,State/Lake,11/01/2014,10002.6,6192.8,4151.5,245923
40260,State/Lake,12/01/2014,8677.6,5638.3,3725.8,232090
40260,State/Lake,01/01/2015,8661.9,5091.8,3500.8,224862
40260,State/Lake,02/01/2015,9062.8,10204.5,3536.8,236221
40260,State/Lake,03/01/2015,9810.3,6909,3940,263163
